item,itemLabel,image
http://www.wikidata.org/entity/Q185926,HTC HD2,http://commons.wikimedia.org/wiki/Special:FilePath/Htc-hd2.jpg
http://www.wikidata.org/entity/Q216994,Nokia Lumia 610,http://commons.wikimedia.org/wiki/Special:FilePath/Matias%20oyarzo%20lumia%20610.png
http://www.wikidata.org/entity/Q216994,Nokia Lumia 610,http://commons.wikimedia.org/wiki/Special:FilePath/Nokia%20Lumia%20610-01.JPG
http://www.wikidata.org/entity/Q223895,Nokia N95,http://commons.wikimedia.org/wiki/Special:FilePath/Nokia%20N95%20Front%201.jpg
http://www.wikidata.org/entity/Q235642,Nokia Lumia 920 smartphone,http://commons.wikimedia.org/wiki/Special:FilePath/Nokia%20Lumia%20920%20-%20Caledos%20Runner.jpg
http://www.wikidata.org/entity/Q249255,HTC Evo 3D,http://commons.wikimedia.org/wiki/Special:FilePath/HTC%20EVO%203D.jpg
http://www.wikidata.org/entity/Q250825,Samsung Galaxy Note II,http://commons.wikimedia.org/wiki/Special:FilePath/Galaxy%20note.jpg
http://www.wikidata.org/entity/Q250825,Samsung Galaxy Note II,http://commons.wikimedia.org/wiki/Special:FilePath/Samsung%20Galaxy%20Note%20II.png
http://www.wikidata.org/entity/Q261079,Sony Xperia U,http://commons.wikimedia.org/wiki/Special:FilePath/Xperia%20U.jpg
http://www.wikidata.org/entity/Q263558,HTC HD Mini,http://commons.wikimedia.org/wiki/Special:FilePath/HTC%20HD%20Mini.JPG
http://www.wikidata.org/entity/Q264059,Samsung Galaxy S,http://commons.wikimedia.org/wiki/Special:FilePath/Samsung%20Galaxy%20S.svg
http://www.wikidata.org/entity/Q280885,Nokia Lumia 900,http://commons.wikimedia.org/wiki/Special:FilePath/Nokia%20Lumia%20900.jpg
http://www.wikidata.org/entity/Q287674,Sony Xperia V,http://commons.wikimedia.org/wiki/Special:FilePath/Xperia%20V%20auf%20der%20Internationalen%20Funkausstellung%202012%20in%20Berlin%201%20PD.JPG
http://www.wikidata.org/entity/Q300859,iPhone 3GS,http://commons.wikimedia.org/wiki/Special:FilePath/IPhone%201st%20Gen.svg
http://www.wikidata.org/entity/Q311758,Nokia Lumia 820,http://commons.wikimedia.org/wiki/Special:FilePath/Nokia%20Lumia%20820.jpg
http://www.wikidata.org/entity/Q339089,HTC Explorer,http://commons.wikimedia.org/wiki/Special:FilePath/HTC%20Explorer%20front%20view.JPG
http://www.wikidata.org/entity/Q348819,LG Optimus G,http://commons.wikimedia.org/wiki/Special:FilePath/LG%20Optimus%20G.jpg
http://www.wikidata.org/entity/Q371350,Nokia E60,http://commons.wikimedia.org/wiki/Special:FilePath/Nokia%20E60.jpg
http://www.wikidata.org/entity/Q391918,Motorola Backflip,http://commons.wikimedia.org/wiki/Special:FilePath/Motorola%20Backflip%20open.jpg
http://www.wikidata.org/entity/Q400356,Sony Xperia J,http://commons.wikimedia.org/wiki/Special:FilePath/Sony%20Xperia%20J%201.jpg
http://www.wikidata.org/entity/Q428505,Nokia Lumia 620,http://commons.wikimedia.org/wiki/Special:FilePath/Nokia%20Lumia%20620.JPG
http://www.wikidata.org/entity/Q440947,Danger Hiptop,http://commons.wikimedia.org/wiki/Special:FilePath/Color%20sidekick.jpg
http://www.wikidata.org/entity/Q482636,LG Optimus 2X,http://commons.wikimedia.org/wiki/Special:FilePath/World%E2%80%99s%20first%20dual-core%20smartphone%20comes%20to%20europe.jpg
http://www.wikidata.org/entity/Q482844,Samsung i8910,http://commons.wikimedia.org/wiki/Special:FilePath/Samsung%20i8910HD%200.jpg
http://www.wikidata.org/entity/Q483084,Samsung Galaxy Y,http://commons.wikimedia.org/wiki/Special:FilePath/Samsung%20Galaxy%20Y%20S5360%20run%20Android%202.3.6.jpg
http://www.wikidata.org/entity/Q483475,Samsung Galaxy Mini,http://commons.wikimedia.org/wiki/Special:FilePath/Samsung%20Galaxy%20Mini.png
http://www.wikidata.org/entity/Q483479,LG Optimus One,http://commons.wikimedia.org/wiki/Special:FilePath/LG%20P500%20OPTIMUS%20ONE.jpg
http://www.wikidata.org/entity/Q483484,LG Optimus Black,http://commons.wikimedia.org/wiki/Special:FilePath/LG%20Optimus%20Black.jpg
http://www.wikidata.org/entity/Q483845,Samsung Galaxy Gio,http://commons.wikimedia.org/wiki/Special:FilePath/Samsung%20Galaxy%20Gio.png
http://www.wikidata.org/entity/Q483987,LG Optimus 7,http://commons.wikimedia.org/wiki/Special:FilePath/LG%20Optimus%207%20smartphone.jpg
http://www.wikidata.org/entity/Q484687,Samsung Galaxy W,http://commons.wikimedia.org/wiki/Special:FilePath/Samsung%20Galaxy%20W%20%28GT-I8150%29%20front%202.jpg
http://www.wikidata.org/entity/Q484691,Samsung i5700,http://commons.wikimedia.org/wiki/Special:FilePath/Samsung%20i5700.jpg
http://www.wikidata.org/entity/Q485216,Samsung Omnia 7,http://commons.wikimedia.org/wiki/Special:FilePath/Samsung%20Omnia%207.jpg
http://www.wikidata.org/entity/Q487143,LG Optimus LTE,http://commons.wikimedia.org/wiki/Special:FilePath/Optimus%20LTE.jpg
http://www.wikidata.org/entity/Q487615,Samsung Galaxy Ace Plus,http://commons.wikimedia.org/wiki/Special:FilePath/Samsung%20Galaxy%20Ace%20Plus.png
http://www.wikidata.org/entity/Q487634,LG Optimus Vu,http://commons.wikimedia.org/wiki/Special:FilePath/LG%20Optimus%20Vu%20front.png
http://www.wikidata.org/entity/Q487639,LG Quantum,http://commons.wikimedia.org/wiki/Special:FilePath/LG%20Quantum.jpg
http://www.wikidata.org/entity/Q488583,Samsung Galaxy Ace 2,http://commons.wikimedia.org/wiki/Special:FilePath/Im%20phoneage.jpg
http://www.wikidata.org/entity/Q489846,Samsung i5500,http://commons.wikimedia.org/wiki/Special:FilePath/Galaxy%205.jpg
http://www.wikidata.org/entity/Q490110,Samsung Ativ S,http://commons.wikimedia.org/wiki/Special:FilePath/Samsung%20Ativ%20S.png
http://www.wikidata.org/entity/Q490473,Samsung Galaxy S III Mini,http://commons.wikimedia.org/wiki/Special:FilePath/Samsung%20Galaxy%20S%20III%20mini.png
http://www.wikidata.org/entity/Q492367,LG Prada 3.0,http://commons.wikimedia.org/wiki/Special:FilePath/%E2%80%98%ED%94%84%EB%9D%BC%EB%8B%A4%ED%8F%B0%203.0%E2%80%99%20%EC%98%88%EC%95%BD%20%ED%8C%90%EB%A7%A4%20%EB%8F%8C%EC%9E%85.jpg
http://www.wikidata.org/entity/Q492647,LG Optimus Chat,http://commons.wikimedia.org/wiki/Special:FilePath/LG%20Optimus%20Chat.jpg
http://www.wikidata.org/entity/Q494226,LG Optimus GT540,http://commons.wikimedia.org/wiki/Special:FilePath/LG%EC%A0%84%EC%9E%90%EC%9D%98%20%EB%91%90%20%EB%B2%88%EC%A7%B8%20%EC%95%88%EB%93%9C%EB%A1%9C%EC%9D%B4%ED%8F%B0%20%EC%8A%A4%EB%A7%88%ED%8A%B8%ED%8F%B0%28LG%20GT540%29.jpg
http://www.wikidata.org/entity/Q494372,LG Optimus 4X HD,http://commons.wikimedia.org/wiki/Special:FilePath/LG%20Optimus%204X%20HD%20P880.JPG
http://www.wikidata.org/entity/Q494698,Samsung Galaxy Note GT-N7000,http://commons.wikimedia.org/wiki/Special:FilePath/Samsung%20Galaxy%20Note.png
http://www.wikidata.org/entity/Q494698,Samsung Galaxy Note GT-N7000,http://commons.wikimedia.org/wiki/Special:FilePath/Samsung%20Galaxy%20Note%20series.jpg
http://www.wikidata.org/entity/Q494845,LG Optimus 3D,http://commons.wikimedia.org/wiki/Special:FilePath/LG%20Optimus%203D%282%29.jpg
http://www.wikidata.org/entity/Q494879,Samsung i5800,http://commons.wikimedia.org/wiki/Special:FilePath/Samsung%20Galaxy%203%20GT-I5800%20%283%29.jpg
http://www.wikidata.org/entity/Q495926,Samsung Galaxy Ace,http://commons.wikimedia.org/wiki/Special:FilePath/Samsung%20Galaxy%20Ace.png
http://www.wikidata.org/entity/Q495946,Samsung Wave S8500,http://commons.wikimedia.org/wiki/Special:FilePath/Samsung%20Wave%20Bada.jpg
http://www.wikidata.org/entity/Q496923,LG GW620,http://commons.wikimedia.org/wiki/Special:FilePath/LG%20GW620.jpg
http://www.wikidata.org/entity/Q496923,LG GW620,http://commons.wikimedia.org/wiki/Special:FilePath/Motorola%20Milestone%20%26%20LG%20GW620%2020100124.jpg
http://www.wikidata.org/entity/Q497247,Samsung i8000,http://commons.wikimedia.org/wiki/Special:FilePath/Samsung%20GT-i8000%208GB%202.jpg
http://www.wikidata.org/entity/Q497751,LG Optimus L9,http://commons.wikimedia.org/wiki/Special:FilePath/LG%20Optimus%20L9.JPG
http://www.wikidata.org/entity/Q498360,Samsung Galaxy Fit,http://commons.wikimedia.org/wiki/Special:FilePath/Samsung%20Galaxy%20Fit%20%28GT-S5670%29.jpg
http://www.wikidata.org/entity/Q548987,Motorola Atrix 2,http://commons.wikimedia.org/wiki/Special:FilePath/Motorola%20Atrix%202.JPG
http://www.wikidata.org/entity/Q549095,Droid 2,http://commons.wikimedia.org/wiki/Special:FilePath/Motorola%20Droid%202.jpg
http://www.wikidata.org/entity/Q553814,Droid Pro,http://commons.wikimedia.org/wiki/Special:FilePath/Motorola%20Droid%20Pro.jpg
http://www.wikidata.org/entity/Q564264,Droid X,http://commons.wikimedia.org/wiki/Special:FilePath/Mot%20Droid%20X%20wp%20jeh.jpg
http://www.wikidata.org/entity/Q578663,HTC HD7,http://commons.wikimedia.org/wiki/Special:FilePath/HTC%20HD7.png
http://www.wikidata.org/entity/Q579988,Motorola Droid,http://commons.wikimedia.org/wiki/Special:FilePath/Motorola%20Milestone.jpg
http://www.wikidata.org/entity/Q580170,HTC J Butterfly,http://commons.wikimedia.org/wiki/Special:FilePath/Au%20by%20KDDI%20HTC%20J%20butterfly%20HTL21%20ScreenSide.JPG
http://www.wikidata.org/entity/Q582165,Samsung Galaxy S Plus,http://commons.wikimedia.org/wiki/Special:FilePath/Samsung%20Galaxy%20S.svg
http://www.wikidata.org/entity/Q617418,Huawei Ascend W1,http://commons.wikimedia.org/wiki/Special:FilePath/Huawei%20W1-U00-7114.jpg
http://www.wikidata.org/entity/Q631790,HTC Touch HD,http://commons.wikimedia.org/wiki/Special:FilePath/HTC%20Touch%20HD%20-%20my%20new%20PDA.jpg
http://www.wikidata.org/entity/Q665229,HTC One S,http://commons.wikimedia.org/wiki/Special:FilePath/HTC%20One%20S.png
http://www.wikidata.org/entity/Q672236,Sony Ericsson Z310,http://commons.wikimedia.org/wiki/Special:FilePath/Sony%20Ericsson%20Z310i.jpg
http://www.wikidata.org/entity/Q676153,Intel AZ210,http://commons.wikimedia.org/wiki/Special:FilePath/Orange%20San%20Diego.png
http://www.wikidata.org/entity/Q679776,HTC 7 Mozart,http://commons.wikimedia.org/wiki/Special:FilePath/HTC%20Mozart%20smartphone.jpg
http://www.wikidata.org/entity/Q696371,HTC One X,http://commons.wikimedia.org/wiki/Special:FilePath/HTC%20One%20X.png
http://www.wikidata.org/entity/Q696618,HTC Desire,http://commons.wikimedia.org/wiki/Special:FilePath/HTC%20Desire%20-%20FriendStream.jpeg
http://www.wikidata.org/entity/Q696923,HTC Magic,http://commons.wikimedia.org/wiki/Special:FilePath/HT-03android.jpg
http://www.wikidata.org/entity/Q697425,HTC Sensation,http://commons.wikimedia.org/wiki/Special:FilePath/HTC%20Sensation%20front%20cs.jpg
http://www.wikidata.org/entity/Q698479,HTC Legend,http://commons.wikimedia.org/wiki/Special:FilePath/HTC%20Legend.png
http://www.wikidata.org/entity/Q698826,HTC Hero,http://commons.wikimedia.org/wiki/Special:FilePath/CreativeTools.se%20-%20PackshotCreator%20-%20HTC%20Hero%20Android.jpg
http://www.wikidata.org/entity/Q698832,HTC Desire HD,http://commons.wikimedia.org/wiki/Special:FilePath/HTC%20Desire%20HD.jpg
http://www.wikidata.org/entity/Q699268,HTC Desire Z,http://commons.wikimedia.org/wiki/Special:FilePath/HTC%20Desire%20Z%20-%20with%20keyboard%20open.jpeg
http://www.wikidata.org/entity/Q700745,HTC Desire S,http://commons.wikimedia.org/wiki/Special:FilePath/HTC%20Desire%20S%2007.jpg
http://www.wikidata.org/entity/Q701391,HTC Tattoo,http://commons.wikimedia.org/wiki/Special:FilePath/HTC%20Tattoo%20black.jpg
http://www.wikidata.org/entity/Q702927,HTC Excalibur,http://commons.wikimedia.org/wiki/Special:FilePath/T-Mobile%20Dash%20wiki.jpg
http://www.wikidata.org/entity/Q702930,HTC Titan,http://commons.wikimedia.org/wiki/Special:FilePath/HTC%20Mogul.jpg
http://www.wikidata.org/entity/Q703343,HTC Wildfire S,http://commons.wikimedia.org/wiki/Special:FilePath/HTC%20Wildfire%20S%20Viewpoints.jpg
http://www.wikidata.org/entity/Q705978,HTC Evo 4G,http://commons.wikimedia.org/wiki/Special:FilePath/HTC%20Evo%204G.jpg
http://www.wikidata.org/entity/Q707009,HTC Touch Pro2,http://commons.wikimedia.org/wiki/Special:FilePath/HTC%20Touch%20Pro%202.jpg
http://www.wikidata.org/entity/Q707081,HTC Touch Dual,http://commons.wikimedia.org/wiki/Special:FilePath/Touch-Dual-closed.jpg
http://www.wikidata.org/entity/Q707103,HTC TyTN II,http://commons.wikimedia.org/wiki/Special:FilePath/Htc%20tytn%20ii.jpg
http://www.wikidata.org/entity/Q708288,Samsung Infuse 4G,http://commons.wikimedia.org/wiki/Special:FilePath/Samsung%20Infuse%204G%2001.jpg
http://www.wikidata.org/entity/Q708297,HTC Titan,http://commons.wikimedia.org/wiki/Special:FilePath/HTC%20Titan%20ATT%20Rlamond.JPG
http://www.wikidata.org/entity/Q710461,HTC Touch Pro,http://commons.wikimedia.org/wiki/Special:FilePath/HTC%20Touch%20Pro%20QWERTY.JPG
http://www.wikidata.org/entity/Q711868,HTC Touch,http://commons.wikimedia.org/wiki/Special:FilePath/T-Mobile%20MDA%20Touch%20with%20WM%206.1.jpg
http://www.wikidata.org/entity/Q711895,HTC TyTN,http://commons.wikimedia.org/wiki/Special:FilePath/Tytn-temp.jpg
http://www.wikidata.org/entity/Q712142,HTC Touch Diamond2,http://commons.wikimedia.org/wiki/Special:FilePath/HTC%20Touch%20Diamond2%2020090313.jpg
http://www.wikidata.org/entity/Q712149,HTC S710,http://commons.wikimedia.org/wiki/Special:FilePath/HTC%20S710.JPG
http://www.wikidata.org/entity/Q712188,HTC Blue Angel,http://commons.wikimedia.org/wiki/Special:FilePath/XV6600.JPG
http://www.wikidata.org/entity/Q712405,HTC S730,http://commons.wikimedia.org/wiki/Special:FilePath/HTC%20S730.JPG
http://www.wikidata.org/entity/Q712416,HTC Max 4G,http://commons.wikimedia.org/wiki/Special:FilePath/HTC%20MAX%204G.JPG
http://www.wikidata.org/entity/Q712443,HTC Touch Cruise,http://commons.wikimedia.org/wiki/Special:FilePath/2008Computex%20HTC%20Touch%20Cruise.jpg
http://www.wikidata.org/entity/Q712822,HTC Desire C,http://commons.wikimedia.org/wiki/Special:FilePath/HTC-Desire-C-GER2.JPG
http://www.wikidata.org/entity/Q713214,HTC Wizard,http://commons.wikimedia.org/wiki/Special:FilePath/Cingular%208125%20%28htc%20wizard%29.jpg
http://www.wikidata.org/entity/Q714308,HTC Touch Diamond,http://commons.wikimedia.org/wiki/Special:FilePath/HtcDiamond.jpg
http://www.wikidata.org/entity/Q715831,Droid Incredible,http://commons.wikimedia.org/wiki/Special:FilePath/Droid%20incredible%20back.JPG
http://www.wikidata.org/entity/Q727286,Nokia N8,http://commons.wikimedia.org/wiki/Special:FilePath/Nokia%20N8.png
http://www.wikidata.org/entity/Q727665,HTC Dream,http://commons.wikimedia.org/wiki/Special:FilePath/T-Mobile%20G1%20launch%20event%202.jpg
http://www.wikidata.org/entity/Q732979,Sony Ericsson W960,http://commons.wikimedia.org/wiki/Special:FilePath/Sony%20Ericsson%20W960i.jpg
http://www.wikidata.org/entity/Q762020,Xperia Play,http://commons.wikimedia.org/wiki/Special:FilePath/Sony-Xperia-Play-Open-FL.jpg
http://www.wikidata.org/entity/Q765944,Samsung Focus,http://commons.wikimedia.org/wiki/Special:FilePath/Samsung%20Focus%20Edited.png
http://www.wikidata.org/entity/Q776696,Sony Xperia S,http://commons.wikimedia.org/wiki/Special:FilePath/Sony%20Xperia%20S%20Front.jpg
http://www.wikidata.org/entity/Q782180,Sony Ericsson Xperia arc S,http://commons.wikimedia.org/wiki/Special:FilePath/SO-01C%20front.jpg
http://www.wikidata.org/entity/Q830534,Nokia N9,http://commons.wikimedia.org/wiki/Special:FilePath/Nokia%20N9.jpg
http://www.wikidata.org/entity/Q834806,Sony Ericsson Z520i,http://commons.wikimedia.org/wiki/Special:FilePath/Z520aopen.jpg
http://www.wikidata.org/entity/Q842330,Nokia 5800 XpressMusic,http://commons.wikimedia.org/wiki/Special:FilePath/Nokia%205800%20XpressMusic%20Browser.jpg
http://www.wikidata.org/entity/Q844842,Nokia 3230,http://commons.wikimedia.org/wiki/Special:FilePath/Nokia%203230.JPG
http://www.wikidata.org/entity/Q846660,Treo 650,http://commons.wikimedia.org/wiki/Special:FilePath/Treo650-Sprint.png
http://www.wikidata.org/entity/Q869349,Xiaomi Mi 1,http://commons.wikimedia.org/wiki/Special:FilePath/Xiaomi%20M1.jpg
http://www.wikidata.org/entity/Q917793,Sony Ericsson Xperia X10,http://commons.wikimedia.org/wiki/Special:FilePath/Nttdocomo-sonyericsson%20so-01b%20front.JPG
http://www.wikidata.org/entity/Q923699,Nokia Lumia 800,http://commons.wikimedia.org/wiki/Special:FilePath/Nokia%20Lumia.jpg
http://www.wikidata.org/entity/Q930359,Nokia E90 Communicator,http://commons.wikimedia.org/wiki/Special:FilePath/Nokia-e90.jpg
http://www.wikidata.org/entity/Q976893,Nokia 9300,http://commons.wikimedia.org/wiki/Special:FilePath/Nokia9300.png
http://www.wikidata.org/entity/Q989827,Samsung Ativ,http://commons.wikimedia.org/wiki/Special:FilePath/Samsung%20Ativ%2011.6%20inch%20tablet%20Win%208%20jeh.jpg
http://www.wikidata.org/entity/Q1061068,Sony Ericsson Xperia X1,http://commons.wikimedia.org/wiki/Special:FilePath/Black%20X1i%20in%20landscape.JPG
http://www.wikidata.org/entity/Q1065197,Nokia N82,http://commons.wikimedia.org/wiki/Special:FilePath/Nokia%20N82.jpg
http://www.wikidata.org/entity/Q1076461,Nokia N73,http://commons.wikimedia.org/wiki/Special:FilePath/Nokia-N73.jpg
http://www.wikidata.org/entity/Q1100490,Huawei U8800,http://commons.wikimedia.org/wiki/Special:FilePath/Huawei%20u8800%20front.png
http://www.wikidata.org/entity/Q1116698,HTC Aria,http://commons.wikimedia.org/wiki/Special:FilePath/HTC%20Aria%20review.jpg
http://www.wikidata.org/entity/Q1135934,Droid Razr,http://commons.wikimedia.org/wiki/Special:FilePath/Motorola%20RAZR%20XT910.jpg
http://www.wikidata.org/entity/Q1137033,Sony Ericsson Xperia ray (ST18i),http://commons.wikimedia.org/wiki/Special:FilePath/Sony%20Ericsson%20Xperia%20Ray%20Status.jpg
http://www.wikidata.org/entity/Q1139503,Nokia Lumia 710,http://commons.wikimedia.org/wiki/Special:FilePath/Nokia%20Lumia%20710%20front%20ON.jpg
http://www.wikidata.org/entity/Q1153608,Nokia N70,http://commons.wikimedia.org/wiki/Special:FilePath/Nokia%20N70%20%281%29.jpg
http://www.wikidata.org/entity/Q1185953,Motorola Defy,http://commons.wikimedia.org/wiki/Special:FilePath/Motorola%20Defy%20crop%202.jpg
http://www.wikidata.org/entity/Q1191377,Sony Ericsson Xperia Arc,http://commons.wikimedia.org/wiki/Special:FilePath/SO-01C%20front.jpg
http://www.wikidata.org/entity/Q1191968,Sony Ericsson Xperia X10 Mini,http://commons.wikimedia.org/wiki/Special:FilePath/Sony%20Ericsson%20Xperia%20X10%20Mini.JPG
http://www.wikidata.org/entity/Q1218455,Nokia 5230,http://commons.wikimedia.org/wiki/Special:FilePath/Nokia5230.jpg
http://www.wikidata.org/entity/Q1280935,Dell Venue Pro,http://commons.wikimedia.org/wiki/Special:FilePath/Dell%20Venue%20Pro%20smartphone.jpg
http://www.wikidata.org/entity/Q1290269,Sony Ericsson Xperia Mini Pro,http://commons.wikimedia.org/wiki/Special:FilePath/Sony%20Ericsson%20Xperia%20mini%20pro%2020120421.JPG
http://www.wikidata.org/entity/Q1314446,HTC 7 Pro,http://commons.wikimedia.org/wiki/Special:FilePath/HTC%207%20Pro.jpg
http://www.wikidata.org/entity/Q1319535,Nüvifone A50,http://commons.wikimedia.org/wiki/Special:FilePath/N%C3%BCvifone%20A50.jpg
http://www.wikidata.org/entity/Q1321356,IBM Simon,http://commons.wikimedia.org/wiki/Special:FilePath/IBM%20Simon%20Personal%20Communicator.png
http://www.wikidata.org/entity/Q1341483,Nokia 808 PureView,http://commons.wikimedia.org/wiki/Special:FilePath/Nokia%20808%20PureView%20front%20and%20back%20view.JPG
http://www.wikidata.org/entity/Q1356126,Nokia 6210 Navigator,http://commons.wikimedia.org/wiki/Special:FilePath/Nokia6210Navi-open.jpg
http://www.wikidata.org/entity/Q1393947,Sony Xperia P,http://commons.wikimedia.org/wiki/Special:FilePath/Xperia%20P.jpg
http://www.wikidata.org/entity/Q1407539,Nokia N97,http://commons.wikimedia.org/wiki/Special:FilePath/Nokia%20n97%20mobile%20phone.JPG
http://www.wikidata.org/entity/Q1429789,Nokia 7650,http://commons.wikimedia.org/wiki/Special:FilePath/Nokia%207650%2001.jpg
http://www.wikidata.org/entity/Q1463380,Palm Pre,http://commons.wikimedia.org/wiki/Special:FilePath/Palm%20Pre.jpg
http://www.wikidata.org/entity/Q1535920,Sony Ericsson P990,http://commons.wikimedia.org/wiki/Special:FilePath/P990i-open.JPG
http://www.wikidata.org/entity/Q1544786,Greenphone,http://commons.wikimedia.org/wiki/Special:FilePath/Greenphone%20cropped.jpg
http://www.wikidata.org/entity/Q1549091,HTC 7 Trophy,http://commons.wikimedia.org/wiki/Special:FilePath/HTC%20Trophy%20smartphone.jpg
http://www.wikidata.org/entity/Q1566040,HTC Smart,http://commons.wikimedia.org/wiki/Special:FilePath/HTC%20Smart%2002.jpg
http://www.wikidata.org/entity/Q1566050,HTC Wildfire,http://commons.wikimedia.org/wiki/Special:FilePath/Htcwildfire.JPG
http://www.wikidata.org/entity/Q1580054,Sony Ericsson Satio,http://commons.wikimedia.org/wiki/Special:FilePath/SonyEricssonSatio.jpg
http://www.wikidata.org/entity/Q1634751,Nokia E71,http://commons.wikimedia.org/wiki/Special:FilePath/Nokiae71.jpg
http://www.wikidata.org/entity/Q1643372,Nokia N91,http://commons.wikimedia.org/wiki/Special:FilePath/N91.jpg
http://www.wikidata.org/entity/Q1643391,Nokia 6630,http://commons.wikimedia.org/wiki/Special:FilePath/Nokia%206630.jpg
http://www.wikidata.org/entity/Q1647192,Nokia N72,http://commons.wikimedia.org/wiki/Special:FilePath/Nokia%20N72.jpg
http://www.wikidata.org/entity/Q1650835,Nokia N71,http://commons.wikimedia.org/wiki/Special:FilePath/804NK%28Nokia-N71%29%2001.JPG
http://www.wikidata.org/entity/Q1650880,Nokia N96,http://commons.wikimedia.org/wiki/Special:FilePath/Nokia%20N96%20screen%20landscape.jpg
http://www.wikidata.org/entity/Q1651067,Nokia N90,http://commons.wikimedia.org/wiki/Special:FilePath/Nokia%20N90%20Camera%20flickr%20178946625.jpg
http://www.wikidata.org/entity/Q1651187,Nokia N85,http://commons.wikimedia.org/wiki/Special:FilePath/PC170006.JPG
http://www.wikidata.org/entity/Q1651194,Nokia N93,http://commons.wikimedia.org/wiki/Special:FilePath/Nokia%20n93-1.jpg
